name	latitude	longitude
Aghaboe	52.92851	-7.52052
Aghaboe	52.92036	-7.51191
Aghabog	54.14724	-7.09589
Aghaboneill	54.00308	-7.88020
Aghaboy	53.79982	-7.44576
Aghaboy	54.18980	-7.75384
Aghaboy	53.74607	-7.56160
Aghaboy	54.32879	-6.91999
Aghaboy	53.27061	-7.81430
Aghaboy North	54.28963	-7.03431
Aghaboys	54.03342	-6.37516
Aghaboy South	54.26394	-7.09126
Aghabrack	53.75546	-7.48583
Aghabrack	53.45194	-7.55247
Aghabrick	54.24118	-6.89726
Aghabullogue	51.94430	-8.80785
Aghaburren	52.28638	-8.71760
Aghacarra	54.03236	-8.27396
Aghacarrible	52.12867	-10.18078
Aghacashel	53.85309	-7.15521
Aghacashel	54.07323	-7.93632
Aghacashlaun	54.04284	-7.93090
Aghaclay	54.17533	-7.03791
Aghaclogha	54.30806	-7.01755
Aghacloghan	54.02313	-6.77252
Aghaclogher	53.70938	-8.07914
Aghacocara	53.42164	-7.92347
Aghaconny	53.91777	-7.37610
Aghacoora	52.37729	-9.65155
Aghacordrinan	53.82297	-7.62502
Aghacreevy	53.83013	-7.35185
Aghacross	52.25756	-8.40191
Aghacunna	51.87593	-9.09403
Aghacurreen	52.08712	-9.55619
Aghacurreen	53.85673	-8.56379
Aghada	51.83787	-8.21816
Aghada	51.83699	-8.20900
Aghadachor	55.14653	-7.84077
Aghadaghly	55.19876	-7.65842
Aghadangan	53.74756	-8.07354
Aghadark	54.05289	-7.81472
Aghadaugh	53.54695	-7.21996
Aghade	52.76877	-6.75098
Aghadegnan	53.74193	-7.80665
Aghaderrard East	54.42297	-8.23392
Aghaderrard West	54.42890	-8.23713
Aghaderry	54.40466	-6.98696
Aghaderry	53.84153	-8.57038
Aghadiffin	53.86649	-8.71955
Aghadoe	51.95102	-8.00105
Aghadonagh	53.69280	-7.59831
Aghadonagh	53.28750	-7.62324
Aghadooey Glebe	53.89760	-9.57076
Aghadoon	53.91107	-7.32489
Aghadoon	54.27318	-10.03113
Aghadouglas	52.99348	-7.84393
Aghadowey	54.58616	-8.05497
Aghadown	51.54246	-9.37577
Aghadown	51.56059	-9.39044
Aghadowry	53.83740	-7.67436
Aghadreen	52.90898	-7.17942
Aghadreenagh	54.07580	-7.30999
Aghadreenan	55.18734	-7.65842
Aghadreenan	54.07677	-6.71498
Aghadrestan	53.85454	-8.58528
Aghadrinagh	53.83320	-9.30735
Aghadrumcarn	53.95370	-7.88055
Aghadrumcru	54.40378	-7.00510
Aghadrumderg	53.92079	-7.85533
Aghadrumdoney	54.11290	-7.28431
Aghadrumgowna	54.00767	-7.18838
Aghadrumgullin	54.03750	-7.36982
Aghadruminshin	53.98015	-7.70451
Aghadrumkeen	54.14830	-7.05899
Aghadrumkeen	54.14813	-7.06007
Aghaduff	51.96074	-8.30763
Aghadunvane	54.42690	-8.27048
Aghafad	53.82870	-7.36227
Aghafad	53.71295	-7.80335
Aghafad	53.95802	-6.65707
Aghafadda	53.37661	-8.64790
Aghafadda	53.59301	-9.25850
Aghafarnan	53.87773	-6.82337
Aghafin	52.96721	-7.52182
Aghafin	53.70079	-7.59534
Aghafin	54.21814	-7.19368
Aghafin	53.31996	-7.83204
Aghafin	54.06143	-8.07929
Aghafin	53.39017	-7.76516
Aghafin	53.51297	-7.75309
Aghafore	51.61593	-8.80261
Aghafoy	54.54787	-7.85162
Aghafullim	53.36229	-6.72245
Aghagad	53.59915	-8.34410
Aghagad	54.38557	-8.53738
Aghagadda	51.89050	-10.31115
Aghagah	53.92433	-7.63030
Aghagally	54.30011	-7.01360
Aghagashlan	54.06099	-7.00687
Aghagaw	54.22422	-7.13317
Aghagegna	53.88733	-7.30096
Aghaginny	54.06743	-7.99478
Aghaglasheen	54.25922	-9.95440
Aghaglass	53.97686	-6.57153
Aghaglassan	55.22253	-7.16745
Aghaglinny North	53.13890	-9.23662
Aghaglinny South	53.12740	-9.23486
Aghagolrick	53.98362	-7.23092
Aghagoogy	53.17264	-7.81821
Aghagooheen	51.65088	-9.48159
Aghagower	53.76215	-9.46220
Aghagower	53.76340	-9.46509
Aghagower	53.58949	-8.32212
Aghagowla	54.04621	-8.27095
Aghagowla Beg	53.85214	-9.49649
Aghagowla More	53.84944	-9.51213
Aghagrania	54.06897	-8.00616
Aghagreagh	53.80134	-7.63609
Aghagurty	53.06388	-7.75281
Aghahull	55.03977	-7.63005
Aghakee	53.90170	-7.30835
Aghakeel	53.61459	-8.00949
Aghakeeran	53.81818	-7.60455
Aghakilbrack	54.06618	-7.98731
Aghakilconnell	53.99421	-7.98408
Aghakilfaughna	53.94453	-7.85589
Aghakilmore	54.01810	-8.01599
Aghakilmore	53.79896	-7.59915
Aghakilmore Lower	53.84249	-7.37383
Aghakilmore Upper	53.83310	-7.37501
Aghakine	53.83972	-7.59057
Aghakinnigh	54.16775	-7.67207
Aghakista	54.09030	-6.87701
Aghaknock	53.94043	-7.50951
Aghalacka	52.59162	-8.98549
Aghalackan	53.97272	-7.30565
Aghalahard	53.55734	-9.30570
